Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_31_3,VGND,li1,4.8300,89.7600,0.000000
FILLER_0_30_333,VGND,li1,156.4000,84.3200,0.000001
FILLER_0_30_224,VGND,li1,106.2600,84.3200,0.000000
FILLER_0_30_221,VGND,li1,105.1100,84.3200,0.000000
FILLER_0_30_218,VGND,li1,103.7300,84.3200,0.000000
FILLER_0_30_215,VGND,li1,102.3500,84.3200,0.000000
FILLER_0_30_197,VGND,li1,93.8400,84.3200,0.000000
FILLER_0_30_189,VGND,li1,89.9300,84.3200,0.000000
FILLER_0_30_186,VGND,li1,89.0100,84.3200,0.000000
FILLER_0_30_179,VGND,li1,85.5600,84.3200,0.000000
FILLER_0_30_176,VGND,li1,84.4100,84.3200,0.000000
FILLER_0_30_173,VGND,li1,83.0300,84.3200,0.000000
FILLER_0_30_163,VGND,li1,78.4300,84.3200,0.000000
FILLER_0_30_160,VGND,li1,77.0500,84.3200,0.000000
FILLER_0_30_144,VGND,li1,69.2300,84.3200,0.000000
FILLER_0_30_141,VGND,li1,68.3100,84.3200,0.000000
FILLER_0_30_130,VGND,li1,63.0200,84.3200,0.000000
FILLER_0_30_127,VGND,li1,61.8700,84.3200,0.000000
FILLER_0_30_118,VGND,li1,57.2700,84.3200,0.000000
FILLER_0_30_115,VGND,li1,56.3500,84.3200,0.000000
FILLER_0_30_112,VGND,li1,54.9700,84.3200,0.000000
FILLER_0_30_109,VGND,li1,53.5900,84.3200,0.000000
FILLER_0_30_99,VGND,li1,48.5300,84.3200,0.000000
FILLER_0_30_96,VGND,li1,47.6100,84.3200,0.000000
FILLER_0_30_93,VGND,li1,46.2300,84.3200,0.000000
FILLER_0_30_90,VGND,li1,44.8500,84.3200,0.000000
FILLER_0_30_81,VGND,li1,40.7100,84.3200,0.000000
FILLER_0_30_78,VGND,li1,39.3300,84.3200,0.000000
FILLER_0_30_75,VGND,li1,37.9500,84.3200,0.000000
FILLER_0_30_66,VGND,li1,33.8100,84.3200,0.000000
FILLER_0_30_63,VGND,li1,32.4300,84.3200,0.000000
FILLER_0_30_60,VGND,li1,31.0500,84.3200,0.000000
FILLER_0_30_57,VGND,li1,29.6700,84.3200,0.000000
FILLER_0_30_54,VGND,li1,28.2900,84.3200,0.000000
FILLER_0_30_45,VGND,li1,23.6900,84.3200,0.000000
FILLER_0_30_42,VGND,li1,22.7700,84.3200,0.000000
FILLER_0_30_35,VGND,li1,19.5500,84.3200,0.000000
FILLER_0_30_26,VGND,li1,15.1800,84.3200,0.000000
FILLER_0_30_23,VGND,li1,14.0300,84.3200,0.000000
FILLER_0_30_14,VGND,li1,9.4300,84.3200,0.000000
FILLER_0_30_11,VGND,li1,8.5100,84.3200,0.000000
FILLER_0_30_6,VGND,li1,5.7500,84.3200,0.000000
FILLER_0_30_3,VGND,li1,4.8300,84.3200,0.000000
FILLER_0_29_215,VGND,li1,102.1200,84.3200,0.000000
FILLER_0_29_212,VGND,li1,100.9700,84.3200,0.000000
FILLER_0_29_209,VGND,li1,99.5900,84.3200,0.000000
FILLER_0_29_206,VGND,li1,98.2100,84.3200,0.000000
FILLER_0_29_203,VGND,li1,96.8300,84.3200,0.000000
FILLER_0_29_200,VGND,li1,95.4500,84.3200,0.000000
FILLER_0_29_195,VGND,li1,92.9200,84.3200,0.000000
FILLER_0_29_192,VGND,li1,91.7700,84.3200,0.000000
FILLER_0_29_189,VGND,li1,90.3900,84.3200,0.000000
FILLER_0_29_186,VGND,li1,89.0100,84.3200,0.000000
FILLER_0_29_161,VGND,li1,77.5100,84.3200,0.000000
FILLER_0_29_158,VGND,li1,76.1300,84.3200,0.000000
FILLER_0_29_155,VGND,li1,74.7500,84.3200,0.000000
FILLER_0_29_152,VGND,li1,73.3700,84.3200,0.000000
FILLER_0_29_149,VGND,li1,71.9900,84.3200,0.000000
FILLER_0_29_146,VGND,li1,70.6100,84.3200,0.000000
FILLER_0_29_137,VGND,li1,66.2400,84.3200,0.000000
FILLER_0_29_134,VGND,li1,65.0900,84.3200,0.000000
FILLER_0_29_116,VGND,li1,56.8100,84.3200,0.000000
FILLER_0_29_113,VGND,li1,55.4300,84.3200,0.000000
FILLER_0_29_110,VGND,li1,53.8200,84.3200,0.000000
FILLER_0_29_107,VGND,li1,52.6700,84.3200,0.000000
FILLER_0_29_104,VGND,li1,51.2900,84.3200,0.000000
FILLER_0_29_101,VGND,li1,49.9100,84.3200,0.000000
FILLER_0_29_92,VGND,li1,45.7700,84.3200,0.000000
FILLER_0_29_89,VGND,li1,44.3900,84.3200,0.000000
FILLER_0_29_86,VGND,li1,43.0100,84.3200,0.000000
FILLER_0_29_78,VGND,li1,38.8700,84.3200,0.000000
FILLER_0_29_75,VGND,li1,37.9500,84.3200,0.000000
FILLER_0_29_72,VGND,li1,36.5700,84.3200,0.000000
FILLER_0_29_64,VGND,li1,32.4300,84.3200,0.000000
FILLER_0_29_57,VGND,li1,29.2100,84.3200,0.000000
FILLER_0_29_54,VGND,li1,28.0600,84.3200,0.000000
FILLER_0_29_44,VGND,li1,23.6900,84.3200,0.000000
FILLER_0_29_41,VGND,li1,22.3100,84.3200,0.000000
FILLER_0_29_38,VGND,li1,20.9300,84.3200,0.000000
FILLER_0_29_35,VGND,li1,19.5500,84.3200,0.000000
FILLER_0_29_32,VGND,li1,18.1700,84.3200,0.000000
FILLER_0_29_29,VGND,li1,16.7900,84.3200,0.000000
FILLER_0_29_21,VGND,li1,12.8800,84.3200,0.000000
FILLER_0_29_18,VGND,li1,11.7300,84.3200,0.000000
FILLER_0_29_15,VGND,li1,10.3500,84.3200,0.000000
FILLER_0_29_12,VGND,li1,8.9700,84.3200,0.000000
FILLER_0_29_9,VGND,li1,7.5900,84.3200,0.000000
FILLER_0_29_6,VGND,li1,6.2100,84.3200,0.000000
FILLER_0_29_3,VGND,li1,4.8300,84.3200,0.000000
